home,away,home_score,away_score
Austin FC,LAFC,0,2
Colorado Rapids,Minnesota United FC,2,0
Seattle Sounders FC,Houston Dynamo FC,2,0
Vancouver Whitecaps,Real Salt Lake,0,4
LA Galaxy,FC Dallas,3,1
Nashville SC,Atlanta United FC,2,2
New York Red Bulls,Philadelphia Union,1,1
FC Cincinnati,Columbus Crew,2,2
Atlanta United FC,New England Revolution,0,1
CF Montréal,FC Cincinnati,5,4
Columbus Crew,New York City FC,2,1
Philadelphia Union,DC United,2,1
Toronto FC,Orlando City SC,1,1
Nashville SC,Chicago Fire FC,5,1
Colorado Rapids,San Jose Earthquakes,1,1
Vancouver Whitecaps,LA Galaxy,2,1
LAFC,Real Salt Lake,2,1
Portland Timbers,FC Dallas,1,0
Minnesota United FC,Seattle Sounders FC,1,0
Vancouver Whitecaps,Houston Dynamo FC,0,0
Columbus Crew,Nashville SC,0,0
Inter Miami CF,New England Revolution,0,5
New York City FC,CF Montréal,1,0
Toronto FC,New York Red Bulls,1,1
Chicago Fire FC,DC United,2,2
FC Cincinnati,Atlanta United FC,1,1
Sporting Kansas City,San Jose Earthquakes,1,1
Colorado Rapids,FC Dallas,2,0
Real Salt Lake,LA Galaxy,2,2
Portland Timbers,LAFC,2,1
Orlando City SC,Philadelphia Union,2,1
Austin FC,Seattle Sounders FC,0,1
Atlanta United FC,Columbus Crew,0,1
Chicago Fire FC,Toronto FC,1,2
Minnesota United FC,Portland Timbers,2,1
FC Dallas,LA Galaxy,4,0
Nashville SC,FC Cincinnati,3,0
Real Salt Lake,Colorado Rapids,3,0
San Jose Earthquakes,Houston Dynamo FC,1,1
LAFC,Vancouver Whitecaps,2,2
New England Revolution,CF Montréal,2,1
New York City FC,Orlando City SC,5,0
Inter Miami CF,Philadelphia Union,1,1
DC United,New York Red Bulls,1,0
Seattle Sounders FC,Sporting Kansas City,1,3
LAFC,Minnesota United FC,2,2
New York City FC,Columbus Crew,4,1
Orlando City SC,Atlanta United FC,3,2
LA Galaxy,Portland Timbers,4,1
Seattle Sounders FC,San Jose Earthquakes,0,1
New York Red Bulls,New England Revolution,2,3
FC Cincinnati,DC United,0,0
Inter Miami CF,CF Montréal,2,1
Houston Dynamo FC,Real Salt Lake,0,0
Sporting Kansas City,FC Dallas,1,2
Austin FC,Colorado Rapids,0,1
Vancouver Whitecaps,Minnesota United FC,2,2
Philadelphia Union,Chicago Fire FC,1,1
Toronto FC,Nashville SC,1,1
New England Revolution,Nashville SC,0,0
CF Montréal,Atlanta United FC,2,2
Columbus Crew,DC United,2,4
Philadelphia Union,Toronto FC,3,0
Chicago Fire FC,New York City FC,0,0
New York Red Bulls,FC Cincinnati,0,0
Orlando City SC,Inter Miami CF,1,1
Austin FC,Houston Dynamo FC,3,2
Seattle Sounders FC,FC Dallas,1,1
LA Galaxy,Real Salt Lake,1,0
LAFC,Sporting Kansas City,1,4
Portland Timbers,San Jose Earthquakes,1,1
Columbus Crew,Atlanta United FC,2,3
FC Cincinnati,Orlando City SC,1,1
Minnesota United FC,Houston Dynamo FC,2,0
Toronto FC,New York City FC,2,2
FC Dallas,Austin FC,2,0
Colorado Rapids,Sporting Kansas City,0,0
Portland Timbers,Real Salt Lake,3,2
Chicago Fire FC,New York Red Bulls,2,1
Inter Miami CF,Nashville SC,2,1
New England Revolution,Philadelphia Union,2,1
San Jose Earthquakes,LAFC,2,1
DC United,CF Montréal,2,1
LA Galaxy,Vancouver Whitecaps,1,1
San Jose Earthquakes,Vancouver Whitecaps,0,0
Minnesota United FC,LA Galaxy,0,1
CF Montréal,New York Red Bulls,2,1
New York City FC,Inter Miami CF,2,0
